Order_ID,Date,Customer_ID,Product,Category,Region,Quantity,Unit_Price,Discount,Sales,Payment_Method,Salesperson
ORD-10704,2026-05-02,CUST-1067,Keyboard,Accessories,East,4,98.35,0.0,393.4,PayPal,David
ORD-10967,2026-03-26,CUST-1041,Monitor,Electronics,South,1,381.72,0.15,324.46,Credit Card,Emma
ORD-10066,2026-03-25,CUST-1086,Webcam,Accessories,North,4,78.96,0.1,284.26,PayPal,James
ORD-10294,2026-06-02,CUST-1157,Mouse,Accessories,North,2,56.63,0.1,101.93,PayPal,Olivia
ORD-10067,2026-07-11,CUST-1138,Laptop,Electronics,North,3,1799.91,0.05,5129.74,Credit Card,James
ORD-10479,2026-07-01,CUST-1239,Keyboard,Accessories,North,3,44.39,0.2,106.54,Bank Transfer,Sophia
ORD-10328,2026-05-29,CUST-1000,Monitor,Electronics,North,4,492.37,0.1,1772.53,PayPal,Emma
ORD-10626,2026-06-17,CUST-1238,Keyboard,Accessories,North,5,74.92,0.2,,Debit Card,Olivia
ORD-10107,2026-08-08,CUST-1198,Webcam,Accessories,West,4,46.11,0.15,156.77,Debit Card,Sophia
ORD-10983,2026-02-15,CUST-1113,Mouse,Accessories,,1,41.25,0.1,37.12,Bank Transfer,Sarah
ORD-10346,2026-03-21,CUST-1178,Webcam,Accessories,South,2,142.19,0.0,284.38,Credit Card,David
ORD-10298,2026-06-01,CUST-1139,Keyboard,Accessories,West,5,114.99,0.0,574.95,Debit Card,Sophia
ORD-10643,2026-08-19,CUST-1033,Mouse,Accessories,West,3,20.28,0.0,60.84,PayPal,Sophia
ORD-10307,2026-03-18,CUST-1011,Monitor,Electronics,South,3,209.03,0.0,627.09,Debit Card,Michael
ORD-10854,2026-01-19,CUST-1024,Laptop,Electronics,East,2,852.11,0.15,1448.59,Credit Card,James
ORD-10506,2026-04-25,CUST-1040,Keyboard,Accessories,West,5,102.3,0.05,485.92,Bank Transfer,James
ORD-10296,2026-03-18,CUST-1082,Mouse,Accessories,East,2,58.32,0.15,99.14,Bank Transfer,Sophia
ORD-10880,2026-01-02,CUST-1101,Monitor,Electronics,West,4,205.32,0.15,698.09,PayPal,Daniel
ORD-10666,2026-04-28,CUST-1099,Monitor,Electronics,North,-1,201.64,0.2,161.31,Bank Transfer,Sophia
ORD-10100,2026-05-21,CUST-1033,,Accessories,North,4,137.62,0.0,550.48,Debit Card,Michael
ORD-10088,2026-07-15,CUST-1053,Mouse,Accessories,South,1,41.17,0.05,39.11,Debit Card,Sarah
ORD-10063,2026-03-11,CUST-1111,Printer,Office Equipment,South,3,160.16,0.15,408.41,PayPal,Michael
ORD-10843,2026-07-15,CUST-1013,Keyboard,Accessories,West,2,109.32,0.0,218.64,Debit Card,Daniel
ORD-10888,2026-05-22,CUST-1016,Headphones,Accessories,North,4,228.58,0.15,777.17,PayPal,Olivia
ORD-10139,2026-04-27,CUST-1129,Webcam,Accessories,South,1,53.88,0.2,43.1,PayPal,Sophia
ORD-10757,2026-03-12,CUST-1013,Monitor,Electronics,North,4,349.13,0.15,1187.04,PayPal,Daniel
ORD-10615,2026-03-29,CUST-1177,Monitor,Electronics,East,4,322.05,0.0,1288.2,Debit Card,Emma
ORD-10499,2026-06-27,CUST-1149,Keyboard,Accessories,West,3,102.21,0.1,275.97,debit card,James
ORD-10665,2026-07-18,CUST-1083,Keyboard,Accessories,South,1,124.64,0.2,99.71,Debit Card,James
ORD-10584,2026-02-02,CUST-1124,Mouse,Accessories,West,5,45.34,0.1,204.03,Debit Card,James
ORD-10109,2026-04-15,CUST-1222,Keyboard,Accessories,West,3,48.23,0.1,130.22,credit card,Olivia
ORD-10916,2026-07-02,CUST-1117,Keyboard,Accessories,North,5,146.48,0.2,585.92,Debit Card,Sophia
ORD-10650,2026-06-27,CUST-1220,Headphones,Accessories,South,4,115.84,0.2,370.69,Debit Card,James
ORD-10533,2026-01-23,CUST-1070,Webcam,Accessories,South,4,89.44,0.15,304.1,Credit Card,Sarah
ORD-10445,2026-03-02,CUST-1000,Laptop,Electronics,West,1,1471.63,0.2,1177.3,Debit Card,Sarah
ORD-10605,2026-08-24,CUST-1197,Tablet,Electronics,North,4,508.76,0.15,1729.78,Debit Card,James
ORD-10136,2026-05-09,CUST-1056,Laptop,Electronics,West,5,1527.24,0.1,,Credit Card,James
ORD-10811,2026-08-14,CUST-1234,Monitor,Electronics,West,3,353.45,0.15,,PayPal,James
ORD-10514,2026-06-15,CUST-1213,Webcam,Accessories,South,1,43.14,0.05,40.98,Debit Card,James
ORD-10753,2026-07-12,CUST-1069,Mouse,Accessories,East,1,83.02,0.2,66.42,Credit Card,Olivia
ORD-10158,2026-05-16,CUST-1130,Mouse,Accessories,South,3,92.47,0.1,249.67,Debit Card,Sarah
ORD-10310,2026-01-02,CUST-1180,Mouse,Accessories,North,1,36.46,0.2,29.17,Debit Card,Olivia
ORD-10327,2026-01-20,CUST-1162,Monitor,Electronics,West,3,361.14,0.1,975.08,PayPal,Olivia
ORD-10136,2026-05-09,CUST-1056,Laptop,Electronics,West,5,1527.24,0.1,,Credit Card,James
ORD-10935,2026-07-15,CUST-1142,Keyboard,Accessories,North,4,73.51,0.15,249.93,Debit Card,Michael
ORD-10254,2026-07-06,CUST-1250,Mouse,Accessories,West,1,86.79,0.1,78.11,PayPal,David
ORD-10275,2026-01-16,CUST-1158,Printer,Office Equipment,West,1,380.75,0.0,380.75,Credit Card,James
ORD-10901,2026-05-10,CUST-1043,Monitor,Electronics,South,4,306.41,0.1,1103.08,Debit Card,David
ORD-10184,2026-04-20,CUST-1000,Tablet,Electronics,North,4,444.34,0.05,1688.49,Bank Transfer,Sarah
ORD-10582,2026-01-11,CUST-1148,Printer,Office Equipment,North,2,390.94,0.1,703.69,Debit Card,Michael
ORD-10660,2026-07-24,CUST-1234,Tablet,Electronics,North,2,339.73,0.1,,Bank Transfer,David
ORD-10896,2026-07-16,CUST-1011,Headphones,Accessories,North,5,229.26,0.2,917.04,Credit Card,Sophia
ORD-10209,2026-02-13,CUST-1168,Tablet,Electronics,,5,805.52,0.0,4027.6,Credit Card,James
ORD-10168,2026-08-23,CUST-1089,Headphones,Accessories,North,4,243.54,0.05,925.45,Bank Transfer,David
ORD-10866,2026-04-27,CUST-1160,Headphones,Accessories,North,1,168.84,0.1,151.96,PayPal,Olivia
ORD-10280,2026-05-22,CUST-1121,Laptop,Electronics,West,2,1436.75,0.0,2873.5,PayPal,Olivia
ORD-10899,2026-07-07,CUST-1222,Monitor,Electronics,South,3,261.72,0.1,706.64,Credit Card,Emma
ORD-10541,2026-05-02,CUST-1080,Tablet,Electronics,South,5,431.14,0.1,1940.13,Debit Card,Sophia
ORD-10055,2026-03-04,CUST-1037,Laptop,Electronics,South,1,1692.66,0.15,1438.76,Debit Card,Sophia
ORD-10120,2026-08-20,CUST-1160,Laptop,Electronics,East,4,1108.93,0.0,4435.72,Debit Card,Sarah
ORD-10554,2026-03-08,CUST-1092,Tablet,Electronics,North,3,636.21,0.1,1717.77,PayPal,Sarah
ORD-10025,2026-03-05,CUST-1223,Monitor,Electronics,North,5,,0.0,1886.25,Credit Card,Sarah
ORD-10072,2026-05-17,CUST-1109,Tablet,Electronics,West,3,341.37,0.0,1024.11,PayPal,Sarah
ORD-10538,2026-07-18,CUST-1117,Printer,Office Equipment,North,1,463.78,0.15,394.21,Bank Transfer,Sarah
ORD-10044,2026-07-30,CUST-1203,Mouse,Accessories,East,2,37.83,0.15,64.31,Bank Transfer,Sarah
ORD-10497,2026-03-06,CUST-1025,Mouse,Accessories,East,4,78.05,0.1,280.98,Debit Card,Emma
ORD-10198,2026-03-22,CUST-1166,Headphones,Accessories,South,1,99.92,0.0,99.92,PayPal,David
ORD-10377,2026-07-16,CUST-1149,Mouse,Accessories,South,1,97.92,0.05,93.02,Bank Transfer,James
ORD-10314,2026-05-11,CUST-1099,Webcam,Accessories,West,5,123.5,0.15,524.88,Debit Card,Sophia
ORD-10718,2026-03-27,CUST-1174,Headphones,Accessories,East,1,130.12,0.1,117.11,Credit Card,Sophia
ORD-10208,2026-06-12,CUST-1244,Headphones,Accessories,North,3,75.03,0.2,180.07,Debit Card,Michael
ORD-10721,2026-02-05,CUST-1009,Mouse,Accessories,West,5,22.03,0.05,104.64,PayPal,Sarah
ORD-10918,2026-04-05,CUST-1146,Headphones,Accessories,East,2,58.06,0.0,116.12,Bank Transfer,Olivia
ORD-10535,2026-02-27,CUST-1155,Mouse,Accessories,North,4,56.38,0.2,180.42,Bank Transfer,Michael
ORD-10695,2026-05-17,CUST-1199,Laptop,Electronics,East,5,1268.87,0.15,5392.7,PayPal,Olivia
ORD-10604,2026-02-14,CUST-1124,Monitor,Electronics,West,3,438.09,0.0,1314.27,Credit Card,James
ORD-10590,2026-04-15,CUST-1164,Tablet,Electronics,North,5,366.28,0.0,1831.4,Debit Card,Michael
ORD-10290,2026-04-21,CUST-1114,Webcam,Accessories,North,1,54.46,0.1,49.01,Bank Transfer,David
ORD-10959,2026-03-01,CUST-1221,Laptop,Electronics,North,4,1253.41,0.15,4261.59,Bank Transfer,James
ORD-10332,2026-06-17,CUST-1092,Headphones,Accessories,West,2,66.48,0.0,132.96,Bank Transfer,Emma
ORD-10210,2026-06-14,CUST-1197,Headphones,Accessories,North,5,180.23,0.15,765.98,PayPal,Daniel
ORD-10342,2026-02-03,CUST-1099,Webcam,Accessories,North,2,91.16,0.15,154.97,Credit Card,Sarah
ORD-10060,2026-03-01,CUST-1098,Keyboard,Accessories,West,1,117.71,0.15,100.05,Bank Transfer,Sophia
ORD-10344,2026-06-29,CUST-1102,Monitor,Electronics,South,5,456.21,0.2,1824.84,Bank Transfer,Sarah
ORD-10890,2026-03-01,CUST-1129,Mouse,Accessories,West,3,67.01,0.2,160.82,Debit Card,Daniel
ORD-10711,2026-03-17,CUST-1119,Monitor,Electronics,East,3,455.51,0.15,1161.55,Bank Transfer,Michael
ORD-10467,2026-07-07,CUST-1208,Keyboard,Accessories,East,5,51.39,0.2,205.56,PayPal,David
ORD-10423,2026-05-04,CUST-1016,Tablet,Electronics,East,3,,0.1,2411.15,Bank Transfer,Emma
ORD-10259,2026-05-28,CUST-1153,Tablet,Electronics,South,2,442.14,0.2,707.42,PayPal,Daniel
ORD-10780,2026-02-27,CUST-1006,Laptop,Electronics,North,3,954.02,0.15,2432.75,Bank Transfer,David
ORD-10405,2026-01-23,CUST-1099,Webcam,Accessories,West,3,117.29,0.2,281.5,Credit Card,David
ORD-10788,2026-02-09,CUST-1128,Mouse,Accessories,North,5,86.53,0.2,346.12,PayPal,Sophia
ORD-10767,2026-02-17,CUST-1052,Laptop,Electronics,East,3,1465.55,0.05,4176.82,PayPal,Michael
ORD-10483,2026-06-21,CUST-1088,Printer,Office Equipment,South,5,234.12,0.2,936.48,Credit Card,Olivia
ORD-10530,2026-03-09,CUST-1056,Tablet,Electronics,West,1,348.02,0.15,295.82,Bank Transfer,James
ORD-10810,2026-06-19,CUST-1127,Printer,Office Equipment,North,5,326.68,0.1,1470.06,Credit Card,David
ORD-10999,2026-04-28,CUST-1118,Laptop,Electronics,East,3,1537.29,0.15,3920.09,Bank Transfer,David
ORD-10966,2026-06-27,CUST-1177,Printer,Office Equipment,East,3,359.92,0.2,863.81,Bank Transfer,David
ORD-10110,2026-08-07,CUST-1172,Webcam,Accessories,North,4,173.58,0.2,555.46,Credit Card,Emma
ORD-10995,2026-04-05,CUST-1132,Laptop,Electronics,South,4,971.83,0.15,3304.22,Credit Card,Michael
ORD-10558,2026-02-11,CUST-1087,Mouse,Accessories, West ,3,45.08,0.1,121.72,Bank Transfer,Sophia
ORD-10793,2026-01-11,CUST-1050,Monitor,Electronics,North,5,213.12,0.2,852.48,PayPal,Sarah
ORD-10936,2026-04-06,CUST-1138,keyboard,Accessories,West,5,126.02,0.15,535.59,Credit Card,James
ORD-10919,2026-03-19,CUST-1075,Printer,Office Equipment,West,2,159.79,0.05,303.6,Credit Card,Daniel
ORD-10942,2026-06-05,CUST-1121,Laptop,Electronics,West,2,1701.44,0.15,2892.45,PayPal,Sarah
ORD-10319,2026-05-18,CUST-1073,Keyboard,Accessories,North,5,125.88,0.15,534.99,Credit Card,Daniel
ORD-10516,2026-01-22,CUST-1055,Printer,Office Equipment,South,4,362.28,0.15,1231.75,Debit Card,David
ORD-10449,2026-04-02,CUST-1228,Printer,Office Equipment,East,3,484.28,0.0,1452.84,Bank Transfer,Michael
ORD-10783,2026-02-11,CUST-1148,Laptop,Electronics,East,4,946.14,0.05,3595.33,Debit Card,James
ORD-10593,2026-06-17,CUST-1125,Monitor,Electronics,West,1,387.22,0.1,348.5,Bank Transfer,James
ORD-10909,2026-08-02,CUST-1198,Headphones,Accessories,North,5,195.3,0.0,976.5,Bank Transfer,Daniel
ORD-10743,2026-06-27,CUST-1145,Laptop,Electronics,West,1,1080.6,0.15,918.51,PayPal,Michael
ORD-10137,2026-05-03,CUST-1216,Webcam,Accessories,West,1,99.68,0.15,84.73,Credit Card,Sarah
ORD-10799,2026-04-15,CUST-1028,Tablet,Electronics,South,1,374.17,0.2,299.34,PayPal,Olivia
ORD-10933,2026-05-07,CUST-1130,Webcam,Accessories,East,3,172.91,0.0,518.73,PayPal,David
ORD-10822,2026-03-09,CUST-1012,Headphones,Accessories,North,4,249.25,0.05,947.15,Credit Card,Olivia
ORD-10765,2026-02-12,CUST-1158,Keyboard,Accessories,South,3,118.3,0.05,337.15,Debit Card,Michael
ORD-10261,2026-06-14,CUST-1171,Webcam,Accessories,West,3,150.01,0.15,382.53,Debit Card,Daniel
ORD-10567,2026-02-09,CUST-1077, Laptop ,Electronics,East,2,800.09,0.1,1440.16,PayPal,James
ORD-10832,2026-08-18,CUST-1093,Monitor,Electronics,North,2,358.76,0.05,681.64,Credit Card,Daniel
ORD-10381,2026-05-15,CUST-1122,Laptop,Electronics,South,5,1131.73,0.05,5375.72,Bank Transfer,Michael
ORD-10333,2026-04-20,CUST-1167,Monitor,Electronics,West,1,481.48,0.05,457.41,Credit Card,Michael
ORD-10536,2026-04-15,CUST-1129,Monitor,Electronics,East,5,423.45,0.1,1905.53,Credit Card,Daniel
ORD-10351,2026-04-05,CUST-1040,Headphones,Accessories,South,5,204.67,0.0,1023.35,Credit Card,James
ORD-10785,2026-05-12,CUST-1049,Keyboard,Accessories,East,5,124.12,0.05,589.57,Bank Transfer,Daniel
ORD-10451,2026-01-29,CUST-1033,Laptop,Electronics,West,2,1781.57,0.0,3563.14,PayPal,Sophia
ORD-10078,2026-05-06,CUST-1142,Mouse,Accessories,North,4,75.25,0.15,255.85,Credit Card,Daniel
ORD-10029,2026-01-13,CUST-1149,Printer,Office Equipment,North,5,326.0,0.05,1548.5,Credit Card,Michael
ORD-10712,2026-07-19,CUST-1018,Headphones,Accessories,East,4,205.42,0.15,698.43,Credit Card,Daniel
ORD-10277,2026-08-24,CUST-1024,Keyboard,Accessories,East,5,66.51,0.2,266.04,Bank Transfer,Daniel
ORD-10247,2026-05-15,CUST-1114,Tablet,Electronics,North,5,346.86,0.0,1734.3,Debit Card,Michael
ORD-10657,2026-08-02,CUST-1044,Mouse,Accessories,West,3,46.44,0.15,118.42,Credit Card,Michael
ORD-10306,2026-07-20,CUST-1052,Printer,Office Equipment,,1,271.91,0.15,231.12,Bank Transfer,Sarah
ORD-10165,2026-07-01,CUST-1112,Printer,Office Equipment,East,5,333.42,0.05,1583.75,Bank Transfer,Daniel
ORD-10816,2026-01-25,CUST-1109,Tablet,Electronics,North,4,895.17,0.1,3222.61,Debit Card,Emma
ORD-10178,2026-07-29,CUST-1115,Tablet,Electronics,West,4,858.28,0.0,3433.12,Bank Transfer,Emma
ORD-10485,2026-05-05,CUST-1011,Headphones,Accessories,North,2,229.66,0.1,413.39,Credit Card,Michael
ORD-10065,2026-02-04,CUST-1221,Printer,Office Equipment,East,3,213.61,0.15,544.71,Debit Card,Sophia
ORD-10141,2026-04-20,CUST-1080,Headphones,Accessories,North,2,124.86,0.15,212.26,Credit Card,Sarah
ORD-10436,2026-05-09,CUST-1150,Headphones,Accessories,East,1,83.4,0.1,75.06,PayPal,Olivia
ORD-10522,2026-05-31,CUST-1205,Monitor,Electronics,South,3,,0.15,944.01,Credit Card,Daniel
ORD-10844,2026-03-22,CUST-1147,Monitor,Electronics,South,2,244.33,0.2,390.93,PayPal,Olivia
ORD-10420,2026-06-05,CUST-1206,Headphones,Accessories,West,3,192.55,0.15,491.0,Bank Transfer,Sophia
ORD-10404,2026-06-24,CUST-1111,Mouse,Accessories,East,2,99.78,0.2,159.65,Bank Transfer,Sarah
ORD-10679,2026-04-09,CUST-1016,Tablet,Electronics,West,5,424.94,0.15,1805.99,Bank Transfer,Emma
ORD-10265,2026-04-07,CUST-1172,Laptop,Electronics,South,2,1673.62,0.2,2677.79,PayPal,Emma
ORD-10879,2026-02-24,CUST-1047,Monitor,Electronics,North,5,498.81,0.1,2244.65,PayPal,James
ORD-10292,2026-02-13,CUST-1035,Headphones,Accessories,North,4,110.23,0.05,418.87,Debit Card,David
